Emotion,Text
sadness,"` South Africa must be worried how easily we did get through , and close to their line , because they know that Will Carling and Jeremy Guscott are amongst the quickest in the world . "
anger,When I had an argument with my best friend and I thought that I was right and she was not.
neutral," Oh , OK . "
sadness,"I've been joined in the Soudain gamble by the man the Scunny bookies call bespectacled death , @chris_radford "
sadness,When I failed two subjects last year.
joy,Receiving a much wanted letter from a very good friend who lives abroad.
neutral, No problem . 
joy,When I was informed that I had been accepted as a student of Psychology.
sadness,When my brother (5th in the family) passed away.
sadness,But the behaviour of Reverend Prentice has only added to his anguish . 
joy,When I was selected to start Form I at Malosa Secondary school.
sadness," No , I'm not . "
anger,"If she didn't know him better , she would have said he was cross with her . "
joy,I had met someone and we became good friends. Our relationship grew closer and now he is my boyfriend. I felt joy when I found out how he felt about me.
neutral, Thank you . 
anger,"When a discussion resulted in an insult, which in my opinion, was not justified."
neutral," Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . "
anger,When I saw a few people beating a man who seemed to be a stranger.
sadness,"He was a plodding lugubrious fellow , and we were delighted with his Wodehousian name . "
neutral, Thank you . 
neutral," yeah , but I ’ m not there for fun . I have to remain professional and if I get distracted , the manager would be pretty upset . "
sadness,"Talking to a pensioned and bitter \street order\"" policeman."""
anger,"How often do parents say in exasperation , ` Oh , you 'll be the death of me "" ? "
anger," But it is ! Take this morning for example . The subway was so packed this morning , I got totally squished by about a hundred busy commuters on the way to work . "
anger,"Mr C took my drawing pens, without having asked for my permission first, and lost them.  He did not tell me about it till I asked him and then did not try to find them."
anger,When a teacher tells a story which isn't true. It only reflects his way of interpreting reality.
sadness, I ’ m sorry to hear about that . 
anger,"One morning I was standing at the bus-stop and the bus passed by without stopping, even though there were only 8-10 passengers inside.  I felt angry at the rude behaviour of the bus driver and  conductor."
joy,My friend told me he really likes me.
joy, I'm studying medicine . 
joy,"Trying to hide her enormous delight in his return , Juliet turned to David . "
sadness," Definitely , I ’ m really sorry . "
sadness,"After going through a glass door, I sustained a number of serious cuts which were gaping open."
sadness,People are becoming more and more concerned about the healthiness of their diet and way of life . 
anger,"I was very angry when my friend lost my practical's journal, which I needed to study for the exams."
joy,When I got a record as a gift from a friend.
neutral, Guess ! 
sadness,"@JayOwen8 players like jay over there, pinch, punch, grab your conkers, twist nipples and pull hairs they looked over at u in horror "
neutral, Oh ! yes 
anger,When my boyfriend wouldn't dance with me on my graduation night because he thought I could dance with my friends who were friendly.
neutral, why ? 
sadness,"Darling , can't you stay for a few more days ? "
neutral, Mumm . no . 
neutral," I wanted to , but my insurance company wouldn ’ t let me . All of my stunts were done by a stuntman . As you know , I used to do my own stunts , but I ’ ll leave that to the experts in future . "
anger,"Unfair and unjust attitude toward a person close to me, what I was the witness of, caused anger in me."
sadness,"@GodSpurs Gotta be Vanners for me, more deadly more reliable! AND even if he werent (which I think he is) the opposition think he is !"
joy,The day the Real Madrid team of basket ball qualified for the final at Athens.
sadness,When I had stayed abroad for a long time and I had remembered about my friends and relatives. I felt sad and I wanted to see them as soon as possible.
sadness,"Cowed , he stiffened his stance , his eyes slightly downcast . "
sadness,Sometimes our bodies and minds seek excuses to experience griefs that we may have put aside or denied because we couldn't face them at the time . 
neutral, See you . 
neutral, 15 . 
neutral, No problem . 
sadness," Don't mention it . The thesis due date is coming , but my thesis isn't even close to being done . "
anger,"A man kept a seat taken by putting his coat on it after a while the chair was still empty, I asked him if I could use the chair, he didn't agree for the chair was for his coat."
sadness,"The happy melody of Morning has Broken followed , but the sadness of family and friends choked many of the words . "
anger,We are through . 
neutral, Thank you . 
neutral, no problem . 
anger,"` I don't seem to be getting anywhere with this damn machine , "" he said with exasperation . "
sadness,When a close friend drowned in the American River.
neutral, I will be all right soon . I was terrified when I watched them fall from the wire . 
joy,The jeweller was overjoyed ; he began spending heavily . 
sadness,"When I was told by the doctor, after many months of coughing, that I had tuberculosis."
neutral,Do you want black or white coffee ? 
neutral, do you have a copy of your family tree in your house ? I ’ d love to see it . 
joy,When I passed the grade 7 exam.
neutral, Yeah ? 
anger,I felt angry at one time when I was chatting with friends and suddenly another friend joined us and started opposing any comment I added to our chatting.
sadness,"As he was rushed to hospital , his devastated daughter Suzanne went ahead with the service -- not knowing if he would live or die . "
joy,My being admitted to university.
anger," To be honest , it was horrible ! My manager is such a pain in the neck ! "
sadness,"` After he got back I felt like I was in a black hole , "" groaned a disconsolate Wilkinson after his two hour defeat . "
sadness,"Feeling thoroughly disquieted , she left her room in a rush . "
sadness,Food for thought: falling and loud noises are the only fears we are born with - all others are learned through life experiences.  
sadness,My uncle died in the Vietnam War.
anger,"He was incensed , stunned , at her action , and stood rigid with anger as he felt the slime roll down his cheek . "
sadness,"After one alarmed glance at her apoplectic face , Mr Loveitt said smoothly : ` I think we should get back to the facts . "
neutral, What ? 
anger,I felt anger against a colleague of mine during a rehearsal in acting. He hadn't learnt the text of an opera act in the course of several months and thus making difficulties for the rest of my colleagues.
neutral, John is in prison now . He was copped outstealing . 
joy, How about a party at home ? That way we can get together and celebrate it . 
joy, I like him.He ' s good for her . 
joy,When I qualified for form I.  I was one of the three pupils who qualified for form I that year.
sadness,"I was working at a certain place and everyday after work dad would come to pick me up.  One day he did not come, it started getting very dark and I had no money on me and my home was very, very far away."
neutral, I need to use the Internet . 
anger,"This also happened when I was very small.  I was beaten up by my  mother for no fault of mine, I had just beaten up my younger brother for what I thought was his fault.  I was very angry with my mother."
sadness,I was afraid of moving away from home and moving to Helsinki for my studies.
sadness,When my elder sister died.
joy,"wow, thats amazing, i am happy for you :)"
sadness, I feel itchy ! I can ’ t stand it anymore ! I think I may be coming down with something . I feel lightheaded and weak . 
anger,Someone stole my ski at Vitosha and of course I was the one to be blamed. I left them without supervision.
joy," No , thank you . "
anger,"They were cross with each other because of him , and now Nanny was saying bad things about Smallfry that would make Buddie very , very angry . "
anger,Thames Valley Police are known to be furious about the case . 
neutral, I have no reason to distrust him . He's never caused any harm . 
sadness, We're sorry you have to leave . 
anger,"Even so , becoming angry when travel arrangements go wrong can hardly help . "
sadness,It was as if Gillray 's avaricious monarch was more of an affront than the voluptuary suffering from the horrors of dissipation . 
sadness,As a result of breaking the indicator light as mentioned for guilt.
sadness,"My father was very angry with me, and I locked me up in the shower. Then my father knocked his fist through the door, I was scared to death."
joy,She had smiled and raised rather amused brows at the stories that tumbled in then of Fergus 's progress . 
joy,"I remember my religious experience.  During  a gospel camp, a few friends of mine decided to believe in God.  The joy that I felt at that time was more than words can express.  I blessed them and praised God in my heart."
anger,Punished by a leader.
neutral," Yes , I do . "
neutral,"Hi Bill , I saw your grandma yesterday . "
anger, That's just wrong ! why don't you just quit ? 
sadness,"When I was walking at night, I saw fire suspended in the air and it was split into several segments by something I could not see.  I suspected that it was witch-craft."
anger,"For the Opposition , Sam Galbraith said he was particularly angry that the Government was reneging on the ballot subsidy . "
neutral,are you still coming to my place for dinner tomorrow night ? 
anger, What ’ s wrong ? I thought we agreed that you were gonna quit smoking . 
joy,"Travellers might get used to jet-lag in the sense that they learn to live with it , or they might find it progressively more irksome as their initial excitement with travel begins to wear thin . "
sadness,Getting lost in a strange place.
joy,Nor was the thought that he alone might hold the key to the mystery the sole component in his strangely elated state . 
sadness,"On the last day of my school life I was very sad, specially on the farewell party day.  I felt sad to leave behind my beloved teachers and friends."
sadness,When my grandmother died; I had a stronger relation to her than to my mother.
neutral, It is different now . The world is becoming colorful . Some of my friends don't feel the same pressure to marry . We all want to wait for the right moment . 
anger,"When my roommate's boyfriend assaulted me. He was threatening me, calling me names and pushing me around."
joy, Forsythia . It's also called winter jasmine which is the symbol of the spring's arrival . 
joy,"There were amused smiles , but they did not know at all why Alain had done that . "
sadness,"When I was involved in a car accident last November, after the first fall of snow.  I lost control of the car and it spun round and landed on the opposite side of the road, on the hard shoulder.  It was stopped by a pole on top of a bank sloping down to a stream."
joy,When I saw that I had passed an exam.  It was the last chance and there was a lot at stake.
joy,When I understood that I was admitted to the University.
sadness, I've searched everywhere . Where on earth did I put it ? 
sadness,When my parents separated temporarily and I was left behind with my father.  As I loved my mother I wanted to go with her.
joy,Six months ago when I got acquaintances with a person whom I trusted infinitely and from whom I expected help and friendly feelings. With him I found much in common - in our views and in our fate.
anger, Forget it ! It was a bitter pill for me to swallow . 
anger,"I want to change rooms . In fact , I want a refund for tonight ! "
sadness,When I felt powerless to help the poor or when I don't know how to.
anger,I felt angry when I failed in an exam about which I knew quite a few things and I did not deserve to be plucked.
anger,I feel angry at people's indifference at our ability to be present at an event and to stay partial to what happens.
sadness,Facing a mad dog.
sadness," Well , I'm really worried about my grades . I didn't think this course would be so stressful . "
sadness,"I was attacked, standing in a doorway, by a pack of 5 dogs, alsatians and farm dogs with my escape route blocked by a shut fence."
sadness,"When I was on holiday, walking back to where I was staying, at night, and two men started closely following me. There was nobody around that I could run to."
sadness,"` Harry , we 're going to make ourselves miserable beyond measure if we go on like this . "
neutral, Goodbye . 
joy, How about Bill's Seafood Restaurant ? 
anger,"When I am discussing something with a person and I realize that the other person is thinking over her own argumentations instead of listening, I become angry."
joy,That was heaven ! 
sadness,I experienced tears of real grief for the first time when my granny died . 
neutral," Oh , I see . "
anger,"As in sadness (A), relating to this slaghter of fur-seals."
sadness,"Man , I ’ m freaking out ! You gotta help me ! "
sadness,Fuck.! Only a girl's anger on your silly questions can make you sweat in temperature near 12°C..! or #thrill #youprefer
joy, Sounds good . 
joy," Sure , I will . Thank you for inviting me . "
sadness,My apartment has had three robberies in the last month. The guy upstairs just got robbed making it the fourth.
sadness,But it was the scene of my first heartbreak . 
sadness, I have been working on it for a whole month and it's too late to write another . Just think of all my hard work that goes for nothing . How could I do such a thing ? 
sadness, Nah ! This is boring ! I ’ m gonna go play Killer Zombies on my PlayStation ! 
joy,Scoared a goal in a football match.
joy,"After having at last finished my master's thesis, I felt great joy and relief.  I had been haunted by the thesis during the whole of my studies."
joy,` The problems start when he becomes more excited and frisky than usual . 
sadness,I felt sad when I was despised by another person.
anger,With self at losing an important game that I should have won.
anger, But have 2 - hour journey . 
joy,"And , remember , as with all our offers , we guarantee to refund your money if you 're not delighted with your purchase . "
joy,When I met friends I had not seen for the last 2-4 years.
joy,"At that stage , Sunderland were good value for the lead and Mr Crosby must have been a contented man . "
sadness,"But one day when the lord was off hunting the fox said : "" Friends , we are all happy and contented , but our master sometimes seems rather sad and downcast . "
neutral, Everyone from school . 
anger,I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees (in my opinion this is the state's affair).  This is when only a fractoin of the students can find an appartment.
anger,When the person I'm having the affair with won't talk to me in public.
sadness,When I deeply felt that I could lose the person I love best because of my foolishness.
anger,The government's announcement of the withdrawal of the student allowances in 1984.
joy, Let's enter it ! 
neutral, Certainly . 
joy, Where is our camera ? Let's see if we can catch this on film ! 
joy,Hello ! What are you reading about in the newspaper ? 
sadness, I've been having a hard time sleeping lately . 
anger,I was very angry when one day I went to see my girlfriend I talked to her and could not answer back. She was depressed for reasons which were not known to me.
neutral, Great . 
sadness,"Trance-like he drove down the Edgware Road , responding to the multitudinous traffic lights with mechanical movements , while the agitated Eleanor continued to lash his unreceptive ear with a never-ending stream of abuse . "
sadness,My friend and I planned to search for old documents and utensils in the cellar. It was very late at night when we arrived in the cellar. He indicated the place where the police (40 years ago) found two dead bodies. I got very scared when he told me this story.
joy,When I met a good friend after a long time. We had had a quarrel but after two weeks I was really glad to see him again.
neutral,I have a real problem when I meet people . 
neutral," Oh , I see . "
sadness," It seems that I have nothing to do , except this . "
joy, Even the roller coasters that go through tunnels in the dark ? 
joy,"When finally I found a place to live, I felt relieved, predicting changes in my life, and I became happy."
joy,I shot the decisive goal in an ice-hockey match.
anger,When my parents drove me to a nearby place and went home immediately instead of waiting a few hours.  They could have easily waited.
joy,"Getting my kitten, found at work several years ago, taking him home in a box on my motorbike, showing it to my defacto."
joy,China winning the Asian Olympic games.
sadness,My girlfriend dumped me . 
anger,When being made look a fool by the teacher in front of the class during a turn.
neutral," At the beginning , it does not matter , but once someone gets one ball in , it is set . "
sadness," Oh , my computer crashed again ! "
neutral, All right 
anger, I'm tired of your cut-and-dried opinions . Who do you think you are ! 
joy, Here you are . 
joy,"The day I received the key of my apartment and we could enter in it, for my fianceand I had bought it yet in plans, and it seemed to us that this was almost impossible to happen."
anger,"When my brother went out with my new shirt that I adored, and returned it dirty with grease."
sadness,"I was walking alone in the street late at night (2.30 am). It was very quiet. Then a man approached me and said \Hello\""."""
sadness,"My father was away from home and he did not come back when he was expected, he came back several hours later than expected."
sadness,"She stopped , horrified at what she had been about to say . "
neutral, China . 
joy, But you agreed to go out with me at last . 
neutral,Do you think they two will get married ? 
neutral, He quit 
joy," By the way , would you like to have dinner with me tomorrow evening ? Tomorrow is my birthday . "
neutral, I ’ m awfully sorry to hear that . I ’ ll turn to it right away . 
anger,And found to his annoyance that he was grinding his teeth . 
neutral," maybe if I sold my car now , I wouldn't be so tempted to use it . "
anger,A new gas connection was to be installed and the mechanic who came to do it was very rude to my mother and me.  I rushed to thhe dealer with my mother and had a fight with the dealer as he seemed to be unreasonable and was taking the mechanic's side.  Ultimately the matter was resolved after my father went and spoke to him.  The mechanic was asked to apologize.
joy, Wow . We don't get to see this in the city ! 
anger,"I was informed by my flatmate that, when we'd moved into our flat, she'd expected us to buy our food separetely - this event actually happened some 5 months after our sharing began. Prior to this, she had said nothing."
anger, I don't want to argue anymore . Please get out of my life ! 
joy,My girlfriend who had been very far away from me came to my place. She saw me and ran after me. I didn't know that she had come. I couldn't see her. She held my shoulders standing behind me.
neutral, of course . There ’ s always much to learn . I got to know more about the real world . 
anger,"She was still mad at Lucy for something , and Lucy was sure that a little time and concentration would tell her what  but for the moment , somehow , the knowledge was just out of reach . "
neutral, Pardon ? 
joy,When I was admitted to the University.
joy,Never before had Bodmin seen so many faces  and so many happy faces all at one time ! 
joy," Thank you , I will . Hope to see you again next year . "
neutral, I will . 
neutral, I also want to check out this video . 
anger, it was . The hijackers didn't have any respect for human life not even their own . 
neutral, About 6 . 
joy,"When I pass exams, or when a close friend of mine recovered from an illness,etc."
anger, I want to take them to court for arresting me . 
sadness, Why can't I call the police now ? He was definitely following me ! 
neutral," I don't think so . In Korea some marriages break up , but most couples stay together . "
joy,When I was selected to this university despite my having studyied in difficulty throughout my secondary school days.
sadness,"Joseph , unable to follow the French , waited in anguish , not knowing what was being said . "
neutral, I don't believe you . 
anger, I can ’ t believe she would do that to you . It ’ s so dishonest---and rude ! 
sadness,A person died (not really a friend).
joy,Accepted by the college football team.
neutral," Well , you certainly match those criteria , but they ’ re so broad they could apply to anyone . What does it say about me ? "
joy,"Instead , I made my way back along the sand , watching some evidently exhilarated surfers . "
joy,When I saw a good friend again after not having seen her for a long time.
joy, cool ! It must be amazing to work at a bar ! 
sadness,"When I had to give a speech about some historical event, to an audiece of about 200 people my own age whom I did not know."
neutral, Why ? 
anger,I was angry at a University tutorial when an ignorant loudmouth persisted in trying to dominate the conversation.
neutral, What is it ? 
anger,I was given an exam which I thought did not measure at all my ability or my knowledge of the subject.
joy,You look so tan and healthy ! 
anger,"` I am practical , "" Jessamy insisted with some annoyance . "
sadness,"When he saw her horrified expression , however , he stopped being a doctor and became quite fatherly instead . "
anger,"` Nevil doesn't work for me , "" he snapped , truly indignant . "
sadness, But I don't know what else I can do . I am willing to work hard . Sometimes I make mistakes and the boss is not happy . 
sadness,Finding myself alone in a public toilet block with a man known to have had great psychological disturbances.
sadness," Only sometimes when I think about it , I feel very sad . "
neutral, Where ? 
neutral, Can you tell me why you like it ? 
neutral, Next june . 
neutral, Visa . 
neutral, I hope so . 
neutral, Which guy ? 
neutral, $ 59.95 . 
neutral," It ’ s a prediction of your month , based on your zodiac sign . You have a different sign for the month and date you were born in . I was born on April 15th , so I ’ m an Aries . When were you born ? "
anger,"Driving back , she managed to keep her anger in control . "
joy,"I went to fetch my girl-friend at the station. When the train arrived and I saw her descending and running up to me, I felt glad."
anger,Yesterday I read in the newspaper that a 30 year old woman had abused her 2 month old son and had caused his death.  I was very angry after reading this as this is not a human act and to abuse so fragile a life is not a forgivable sin.
sadness, But Mom ! Today we ’ re playing football ! I love football ! 
sadness,Never run away from your problem face them face to face cause so they will catch and never let goo... RIP Jane Kane
sadness,"A close relative was at odds with a very powerful firm.  All his things had been taken, His dad had died a little before this event.  He gathhered his children and vowed to give them a good life with a new start - the words were hollow, he bit back his tears .....I asked to be excused and then went and cried in the loo."
anger,"When I saw a man hitting a child of 2 years without any consideration, simply because the child had been leaning against a window."
sadness,"A group of thirty or forty downcast men stood apart in the canter of thin ring , their heads and arms hanging slack in attitudes of despair . "
neutral,Have you signed up to join the company ’ s Christmas party ? 
joy,"Day before yesterday my mother bought me a new pair of shoes, without my having asked for them.  She told me that when she saw the pair of shoes she felt like buying them for me.  I really liked the shoes and they made me feel that my mother cares for me."
sadness,I'm about to eat Taco Bell for the first time in over 10 years. 
anger,When I am made to do things in which I see no sense and I waste my time. Some time ago I had to participate in a sociological investigation and then I got really angry.
joy,The proprietress seemed delighted to see them . 
joy,When I got a wedding ring of diamond from the boy I loved.
joy," Typical you , always wanting to keep the best things for yourself . The more I appreciate the gift now . "
sadness,It was the time when I was in no position to secure a Ist class in the M.Sc exam and this was likely to affect my career.
neutral, Alright . 
neutral, Are you going to have a birthday party ? 
neutral, 12 
anger,My girl-friend did not understand me; I was angry with myself because I had problems when we seperated - I could not resign myself to it.
joy," Yeah , it ’ s been ages ! So how have you been ? "
sadness,I felt sadness when I had to get separated from the woman I loved who had to leave for her motherland.
sadness,"@goldenblades91 @BerticusMaximus it is exciting. except, yerno, I haven't finished my essay or my translation. "
joy,When I came across an old friend whom I had not seen for a very long time.
anger,"A member of a religious sect tried to convert me, using really evil tricks to persuade me.  After he had left, I was anxious and angry for a long time. After the event, I was alone."
joy,I got a job right after school was over.
joy,"When my daughter gave her solo dance performance in Poona and there was a big applause, I was overjoyed."
joy,"I thought that I had failed an examination, but when I was informed about the mark, I saw that I had passed it."
neutral, Yeah . 
anger," the thing is , this isn't the first time he's promised to do something and then didn't . "
neutral, I think so . 
joy,"The three of them started walking , followed by the excited crowd . "
joy,"I was spending the week-end with some friends.  We were waiting for another friend and we went to the meet him at the bus stop, a  woman we met there told us that the coach had already left.  I was afraid that I would not see my friend, but at last we found him."
anger," Well , they should have called you ! "
joy, I'm not flattering you.You ' re full of energy every day . 
sadness," Sorry , but I'm on my way out now . Could you come back in an hour ? "
anger,"\ I have been hearing rumours that you have not been allowing people in your room,\"" he said.  This sentence really shot my heart.  I failed to find the right words, instead I walked away without uttering a word."""
neutral," I want to have a picnic with my friends , Mum . "
anger, I ’ m definitely taking them to court . 
sadness,A close friend of the family died.
anger,He gave a little grunt of exasperation . 
anger,He felt their resentful eyes burning the nape of his neck . 
anger,When my boss enrolled in a course to satisfy his own ends - to trample on his associates.  I have the misfortune to have one of my superiors in my course.
anger,I felt very angry when a mishanga seller robbed me of the transport money I had to go to school.
joy,During the summer I received grade cards from my TA's. I expected a B no better in Computer Science. I looked at the card - I got an A - I was ecstatic.
anger,"Last semester when I dated a girl whom I've known for almost a year. However one night she said she wanted us to be \just friends\"". I confided this to a friend Jim I was really suffering. A month or two later he broke up with his old girlfriend and they started going out regularly. I have no girlfriend nor have I had a romantic relationship of any significance. I feel some anger but we are friends again."""
joy,Talking with a nice girl.
anger,Not being alowed on a school camp with the class I'd been in for 11 years (I had stayed down due to illness)
sadness,I was going to go on a vacation to Texas this summer but was unable to go because of registration.
sadness, I feel confused about the grammars . 
anger, But nobody uses Macintosh ! 
neutral, Really ? 
joy, Say hi to your family for me . 
anger,I was waiting to receive the participation on the profits and did not receive it.
joy,Connor 's voice was gleeful . 
anger,When I was in F4 I played a basket-ball match against another school's team.  One of their team members kicked a team-mate of mine so I kicked him back and we had a fight with each other.
joy, All right . 
anger,"My father will be angry with me if you leave early ! "" "
sadness,When my father died.
sadness, I really wish I hadn ’ t done it . 
joy,One day I did not feel very well and I wanted to talk to somebody. A friend invited me for dinner and I was very glad.
neutral, What's on ? 
joy," Nice meeting you , too . "
anger," If you want to cross here , be my guest . I don't feel like dodging cars and scooters ! "
sadness,"Rose stood looking down at her , a worried expression in her eyes . "
anger,"That may not , however , be enough for the offended partner . "
neutral, I think so . 
anger,Listening to long speech of the party leaders wasting my time.
neutral, Terrible . 
neutral, Um ... no . 
sadness,The loss of a very good friend.
joy,I had a very pleasant conversation with one of my friends.
sadness,This Duke game is going to give me a panic attack and it hasn't even started.. @holldoll2 
anger,"The bull tossed the effigy out of their hands and became very infuriated . "" "
joy,Do you have a delight in animals and skill in their management ? 
anger, I ask you to pass through life at my side-to be my second self and best earthly companion . 
joy," Yes , it looks interesting . "
anger,My sister had promised to help me to do a translation from English into German. But the day I needed her she told me that she was busy - I was very angry.
joy,When I passed my form three exams.
neutral, Don't worry.He is an acrobat 。 
neutral, I hope that it is not a formal one when the boss is there . 
anger,Towards wife's laziness in not performing her usual duties because of television watching.
neutral, Certainly . 
joy," Oh , thanks a lot . "
sadness,When I get into the tube or the train without paying for the ticket.
neutral, Wait a sec . 
neutral, Tony Bush . 
sadness, The post office.Sorry . I ’ m not sure . 
neutral," And I love trying new recipes , which I usually test with my friends . You can come , too . "
sadness,"The truth was that Mr Wolski was sad with himself , for he did not wish to stay on at the Zoo any longer . "
joy,Guy 's mouth kicked up at one corner in a wryly amused smile . 
anger,When a friend of mine was trying to make a fool out of me.
neutral, What ? 
anger,"I quarrelled with my brothers (twins) at home on saturday.  One of them studies in a private school and the other one is repeating his form five.  They do not know what they are doing.  They follow every word of their teachers, books and systems.  They always try to rationalize their bad acts by some game and they are satisfied with their awkward life.  I have tried to persuade them very often but have failed.  This time I had a fight as they have no voluntary spirit (they did not polish the floor)."
joy," Oh , that's exciting . What does this guy look like ? Is he hot ? "
anger,In me battled a flood of relief at being reprieved and anger at such vile deception . 
neutral, His nose is out of joint because we forgot to invite him to the party . 
anger,Being insulted in public.
neutral, No . 
sadness,I wanted to be a violinist -- that was my real ambition -- but I was too anxious to really get to grips with the instrument . 
anger,When my mother kept me in leading-strings.
anger,"Mr Patten , however , is engaged in more than simply relieving his own exasperation at Beijing 's procrastination . "
sadness,"Perhaps the mural makes it new , so shamelessly bright upon the wall like something spilt , and the restless assortment of weekend patrons who watch the stage with agitated and expectant eyes . "
neutral, how was your day ?
joy, Sound like everything is great . 
joy,When I entered University.
neutral, This one ? 
joy," Extremely good . I shot a 78 , including 5 birdies ! "
joy,"When I dived among sharks and the brightly coloured fish on the outer reef of Tvavni, Fidgi."
sadness,A friend of mine is having psychiatric problems because of his mother's death ages ago. He is really quiet and because it relates back to his childhood I feel sadness for him. He doesn't lead a normal life and it just seems unfair.
joy,The joy came when I first proposed a girl at Secondary School.
sadness,"Loneliness, being uncertain of myself in the Autumn."
joy,"After my graduation exams I was waiting to get admitted to a post graduation course, however the situation was not very favourable for me and I was upset.  Suddenly, Bombay university offered me a seat and I landed up in Bombay for my post graduation studies.  This happened last year and was very pleasant for me."
anger,"When an acquaintance of mine beat up another person for no just reason, and thus showed off his power."
anger,Tzann clucked his tongue with mild exasperation . 
sadness,"I was walking from my friend's house, a few blocks from my house, when a car began to follow me. He waited I passed by it rotateed a little and stopped on my way. I changed completely my way and the car went on following me until I turned at a corner and running I hid in a garden of a house, waiting for the car to pass by. I went back home terribly afraid."
joy,I had a wonderful evening . 
sadness,"I was walking in the wood at night with my boyfriend. Very romantic. Suddenly I heard a car driving very slowly with the lights out, it looked as if they were looking for something."
neutral,"Hi , Francis , how was your business trip ? "
anger,"I felt much anger and perhaps I feel it till now, against my girlfriend's sister who incited her to betray me just when I needed her very much. She didn't think of anything, simply passed over everything."
anger," Shut up . You should think how to make fortunes , not look for a squabble . "
neutral, Passed . 
sadness,Manager Graeme Souness 's touchline ban meant he could only watch in anguish from the directors ' box . 
joy, Ok . See you tomorrow . 
neutral,Where is John ? I can't find him anywhere . 
joy," It sure is . I'm glad it didn't rain . My name's Mike Gates , by the way . "
sadness,Fighting with class mates in Highschool.
sadness,It's hard when you something you have to do! Just because you don't feel like you're ready... Am I ready to #JUMP???
anger,When I realized that the person I was courting hadn't been really by my side for a long time already. He had deceived me and I let him deceive me.
neutral, are you very close to your first-cousins ? 
anger," But I ended up with finding out lady that night , that you were with other girl at cafe near your home . "
anger,"When my girlfriend left me to go out with another guy, even though she knew that she was wrong."
anger, Absolutely not ! I refuse to have thirteen people for dinner on Friday ! 
joy,"Mrs Thatcher has mastered the sound-bite , to be repeated at intervals like a mantra : ` So very pleased with how it 's going . "" "
anger,He got quite angry at the impossibility of Clarissa having given any such instructions . 
sadness,"A young, close relative of mine died, leaving behind a baby a few months old."
joy," Great ! Wait here ? You don ’ t have enough room for the amplifiers , microphones or even your drums ! By the way where do you keep them or practice ? "
anger, It doesn't look good at all . 
joy,"And though , as Lachlan had planned , they had expected the attack in the morning , they were quite happy when their lookouts reported the Macleans ' approach in the early evening . "
neutral, Fifty yuan . 
sadness,"My mother kicked my surrogate father out and he in turn did not care for the dog, Afthur, he bought for the family. His lack of concern lead tho Arthur's death on the freeway. I loved Arthur like a brother. He was easy to talk to."
anger,"I was annoyed this particular day as it seemad that the odds were not in my favour.  My grandfather added fuel to the fire, when I  had an important appointment so I unleashed my anger on him."
sadness," I'm sorry , sir . "
neutral, Yes ? 
neutral," Yes , I do . "
neutral,Hello ? 
joy,"I 'm really happy in the group now . "" "
anger, What ’ s wrong ? I thought we agreed that you were gonna quit smoking . 
joy,The day I was happiest was the day when I received a phone call from Eve's Weekly to inform me that I had won the first prize of the All India Essay competition.  I had won this prize when I was an under-graduate when even post graduates had participated.  I had been judged by eminent judges and political scientists.
neutral, I don ’ t believe that . 
neutral," No problem , what class would you like to take ? "
sadness,"When my ex boyfriend threw me around the dorms because I was talking on the phone to another guy of whom he was jealous, after we had an argument in which I thought we broke up."
anger,People not resprcting my opinion.
joy,Good news about a sick relative.
joy,"The highlight of the whole tournament -- almost irrespective of their performance on the field -- will be SOUTH AFRICA 's emergence from the woods , a coming in from the cold which is generating a great excitement . "
sadness,@nicolescherzy @nicosherzinger &  &#xA;&#xA;Add those three things up and you have a symptom called #NERVOSO &#xA;&#xA;u wanna learn [:
joy,When I was in the sauna bath.
neutral, How much ? 
joy,After the term exams I happened to meet a person that I respect and of whom I think very highly. It was nice that although we see each other rarely he had not forgotten me.
joy," Oh , that's OK . Let's just meet at the theater before the show , around 7:30 . "
sadness, I'm sorry man . I didn't know . I didn't mean to screw anything up . 
sadness,Our son is gone and my heart is gone too . I don ’ t know how to spend the rest of my years . 
anger,Hey . Why did you take that money ? You are such a cheater ! I should send you to jail ! 
neutral, How do I log on to the computer ? 
anger," Oh , SHUT UP ! "
joy,Meeting with two of my friends I had not seen for 15 years. They were special people to me.
sadness,"I was physically assaulted and sexually abused about a year ago. Just the feeling that I might not get away intact, or even alive, produced fear."
anger," You and I have been together for a whole year , and our vacation time should be about the two of us ! "
sadness,"When my mother went through an operation, it was not very serious but I was sad and could not sleep before the operation."
neutral, I do.We haven't watered them for quite a few days . 
sadness,Power cut made me unable to listen to the songs sung by my favourite pop star.
neutral, Bye . 
neutral," On the contrary , very exciting . "
sadness," No , ma'am . I ’ m afraid you put in only one quarter and one dime . "
neutral, My advisor ? 
sadness,Why is @lcduve touching kitten and me so much? What is happening? 
anger,NO RESPONSE.
joy, That would really help me a lot . I'm very grateful . 
neutral," A , whatever you do , the most important is perseverance . So you have to hang on there , the longer , the better . Then some day , you will find you've already made a lot of progress . "
joy,"The remaining men were just preparing to leave when suddenly a young man called Laban Tall rushed into the malthouse , almost too excited to speak . "
sadness," Yes , that's what I plan to do . Except I won't make the chicken soup.Right now I don't think I could swallow more than a spoonful of it . "
joy,"After one year of searching, my friend and I have found a flat we are able to pay for."
